binId	dojezdy_all	dojezdy_urgent	dojezdy_very_urgent	count_all	count_urgent	count_very_urgent	DUŠNOST	ÚRAZ	BOLEST BŘICHA	PÁD	NESP.NEURO. PŘÍZ.	JINÉ POT.AK.	STENOKARDIE	JINÉ POT./ZH.STAVU	PO KOLAPSU	BEZVĚDOMÍ	NEVOLNOST	BOLEST ZAD 	PSYCHÓZA	NAPADENÍ	INTOXIKACE	SOMNOLENCE	KRVÁCENÍ	DN	HYPERT.	ARYTMIE	BOLEST DK	TEPLOTA	KŘEČE/PO KŘEČI	K PORODU	BOLEST JINÁ	DUŠNOST_time	ÚRAZ_time	BOLEST BŘICHA_time	PÁD_time	NESP.NEURO. PŘÍZ._time	JINÉ POT.AK._time	STENOKARDIE_time	JINÉ POT./ZH.STAVU_time	PO KOLAPSU_time	BEZVĚDOMÍ_time	NEVOLNOST_time	BOLEST ZAD _time	PSYCHÓZA_time	NAPADENÍ_time	INTOXIKACE_time	SOMNOLENCE_time	KRVÁCENÍ_time	DN_time	HYPERT._time	ARYTMIE_time	BOLEST DK_time	TEPLOTA_time	KŘEČE/PO KŘEČI_time	K PORODU_time	BOLEST JINÁ_time
627	4.00	4.00	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00	0	0	0	0	0	0	0
628	8.00	9.00	9.00	45	30	14	3	6	1	3	1	0	2	0	6	3	2	0	1	2	4	0	0	4	0	0	0	0	1	0	1	10.00	8.00	8.00	6.00	12.00	0	11.00	0	13.00	9.00	11.00	0	7.00	13.00	6.00	0	0	7.00	0	0	0	0	13.00	0	10.00
629	9.00	9.00	10.00	65	54	23	8	10	3	4	3	3	8	1	3	0	5	3	1	1	2	1	0	2	0	0	2	0	1	0	0	10.00	9.00	10.00	8.00	9.00	12.00	10.00	10.00	9.00	0	11.00	10.00	8.00	7.00	11.00	8.00	0	6.00	0	0	7.00	0	7.00	0	0
630	9.00	8.00	9.00	51	43	14	6	5	4	4	4	3	0	4	3	2	2	2	1	2	0	0	1	2	0	0	0	0	0	0	0	9.00	10.00	10.00	13.00	12.00	8.00	0	10.00	7.00	10.00	12.00	11.00	6.00	11.00	0	0	9.00	9.00	0	0	0	0	0	0	0
631	9.00	9.00	8.00	171	128	61	26	18	14	18	10	10	5	6	7	4	4	8	1	1	5	2	3	0	3	2	4	4	2	1	0	8.00	9.00	8.00	9.00	9.00	10.00	9.00	11.00	8.00	7.00	9.00	10.00	9.00	7.00	5.00	10.00	9.00	0	8.00	12.00	9.00	8.00	9.00	10.00	0
632	10.00	8.00	10.00	8	7	3	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7.00	11.00	0	14.00	10.00	0	0	0	8.00	0	0	0	7.00	0	0	0	0	0	0	0
633	12.00	12.00	0	4	4	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	28.00	0	0	8.00	0	0	8.00	0	0	0	0	0	0	0	0	0	12.00	0	0	0	0	0	0	0
634	9.00	7.00	9.00	7	5	2	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7.00	0	0	10.00	0	0	0	0	9.00	0	0	0	0	0	0	0	9.00	0	0	0	0	0	0	0
635	8.00	8.00	7.00	19	17	7	0	3	1	0	1	0	1	0	1	3	2	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	7.00	6.00	0	8.00	0	7.00	0	8.00	8.00	8.00	0	0	0	0	8.00	0	8.00	0	13.00	0	0	0	0	0
636	10.00	10.00	9.00	8	8	4	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9.00	0	0	10.00	0	0	0	0	0	8.00	0	0	0	0	0	10.00	0	0	0	0	0	0	0
637	9.00	9.00	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
638	11.00	11.00	12.00	8	7	2	2	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	0	0	11.00	0	17.00	0	11.00	0	0	11.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
639	14.00	14.00	12.00	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	14.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
640	14.00	14.00	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	0	0	0	0	14.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
661	9.00	9.00	8.00	6	4	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	9.00	0	0	0	0	8.00	0	0	0	0	0	0	0	0	0	0	0	9.00	10.00	0	0	0	0	0	0
662	10.00	10.00	11.00	55	39	22	11	2	5	3	1	1	3	5	2	0	2	0	2	2	1	0	2	0	4	1	2	1	0	0	0	9.00	14.00	12.00	10.00	9.00	11.00	11.00	9.00	16.00	0	12.00	0	11.00	12.00	7.00	0	13.00	0	10.00	11.00	11.00	8.00	0	0	0
663	8.00	7.00	8.00	32	22	13	3	5	3	3	2	1	0	0	0	5	0	1	0	0	2	1	1	0	1	0	0	0	0	0	2	11.00	7.00	9.00	9.00	7.00	4.00	0	0	0	8.00	0	12.00	0	0	12.00	5.00	6.00	0	5.00	0	0	0	0	0	15.00
664	7.00	7.00	6.00	49	41	19	8	5	4	3	3	0	3	0	4	2	3	1	0	1	0	1	0	0	0	1	0	1	2	1	1	4.00	9.00	6.00	6.00	9.00	0	8.00	0	7.00	9.00	4.00	10.00	0	8.00	0	5.00	0	0	0	5.00	0	5.00	13.00	8.00	9.00
665	9.00	9.00	9.00	38	32	17	4	1	4	2	3	1	1	0	3	3	1	2	1	1	1	1	1	2	1	0	0	1	0	0	0	9.00	6.00	13.00	11.00	7.00	14.00	4.00	0	10.00	9.00	11.00	11.00	9.00	9.00	6.00	10.00	3.00	11.00	9.00	0	0	5.00	0	0	0
666	9.00	9.00	9.00	34	25	15	4	3	4	3	2	1	2	1	0	2	1	1	0	1	1	1	2	1	0	0	0	0	0	0	1	9.00	7.00	9.00	7.00	9.00	14.00	12.00	10.00	0	8.00	7.00	7.00	0	8.00	6.00	7.00	9.00	7.00	0	0	0	0	0	0	4.00
667	8.00	8.00	8.00	464	359	172	65	37	34	35	19	20	28	22	12	20	16	22	15	9	7	5	6	3	6	4	10	8	9	9	2	8.00	8.00	9.00	8.00	9.00	8.00	9.00	9.00	8.00	8.00	8.00	7.00	10.00	9.00	7.00	9.00	8.00	8.00	8.00	10.00	9.00	9.00	7.00	9.00	8.00
668	8.00	8.00	8.00	123	99	41	15	7	8	5	6	7	10	9	4	3	4	5	4	1	1	5	4	1	4	5	1	2	2	0	1	8.00	7.00	8.00	10.00	10.00	10.00	9.00	8.00	8.00	7.00	8.00	9.00	12.00	9.00	9.00	10.00	8.00	5.00	7.00	7.00	5.00	12.00	5.00	0	10.00
669	8.00	8.00	7.00	34	28	14	5	0	2	3	2	0	1	1	2	1	2	2	0	2	0	1	0	3	1	0	0	0	1	0	0	8.00	0	11.00	11.00	9.00	0	7.00	10.00	10.00	6.00	9.00	8.00	0	8.00	0	5.00	0	6.00	9.00	0	0	0	7.00	0	0
670	8.00	8.00	8.00	83	64	29	9	7	7	4	3	4	2	5	3	7	1	4	2	0	0	3	2	0	2	1	0	1	1	0	0	8.00	8.00	8.00	8.00	8.00	7.00	9.00	9.00	8.00	7.00	9.00	7.00	8.00	0	0	7.00	8.00	0	8.00	7.00	0	7.00	6.00	0	0
671	8.00	8.00	8.00	162	126	63	25	10	11	7	15	5	3	9	5	10	2	4	4	1	2	3	4	6	6	4	3	1	1	1	3	8.00	9.00	8.00	8.00	8.00	7.00	9.00	8.00	11.00	7.00	10.00	8.00	12.00	6.00	9.00	12.00	10.00	7.00	9.00	8.00	9.00	8.00	4.00	7.00	7.00
675	9.00	13.00	9.00	5	4	2	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.00	8.00	0	13.00	0	0	0	0	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
694	12.00	12.00	12.00	3	3	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.00	12.00	0	0	0	12.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
695	9.00	14.00	0	3	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.00	0	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
696	10.00	11.00	14.00	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.00	0	0	0	0	0	0	0
697	8.00	9.00	9.00	19	16	8	0	3	1	0	0	0	3	0	1	2	0	0	1	1	1	0	1	3	0	0	0	0	0	0	1	0	6.00	12.00	0	0	0	10.00	0	12.00	7.00	0	0	3.00	9.00	4.00	0	6.00	10.00	0	0	0	0	0	0	6.00
698	9.00	9.00	9.00	86	70	41	9	6	8	7	5	4	5	3	0	5	0	4	0	4	0	2	3	2	2	0	1	2	3	1	0	10.00	10.00	10.00	10.00	9.00	11.00	10.00	9.00	0	7.00	0	9.00	0	8.00	0	14.00	8.00	11.00	12.00	0	9.00	11.00	7.00	6.00	0
699	5.00	5.00	8.00	103	79	34	10	13	9	4	1	4	2	5	6	5	2	3	2	0	1	1	1	3	3	1	1	5	1	0	2	8.00	7.00	6.00	11.00	11.00	4.00	5.00	5.00	4.00	8.00	7.00	12.00	11.00	0	3.00	7.00	3.00	3.00	4.00	6.00	3.00	5.00	11.00	0	8.00
700	8.00	8.00	7.00	222	168	79	26	13	24	18	15	11	10	12	1	3	3	7	8	3	6	3	8	2	4	3	5	3	0	3	2	9.00	10.00	5.00	9.00	10.00	8.00	10.00	6.00	9.00	6.00	10.00	9.00	10.00	4.00	10.00	10.00	6.00	16.00	9.00	9.00	5.00	11.00	0	9.00	7.00
701	7.00	7.00	7.00	68	51	22	8	6	6	6	3	7	4	2	0	1	2	0	2	2	1	0	1	4	0	4	2	1	0	1	0	9.00	10.00	6.00	8.00	9.00	6.00	6.00	8.00	0	5.00	7.00	0	10.00	5.00	2.00	0	6.00	7.00	0	12.00	9.00	10.00	0	4.00	0
702	8.00	8.00	8.00	144	117	48	14	7	15	12	9	12	2	5	7	6	2	5	3	7	5	2	2	5	1	0	3	0	2	2	3	7.00	9.00	8.00	8.00	8.00	9.00	9.00	6.00	9.00	8.00	9.00	8.00	8.00	9.00	7.00	11.00	8.00	6.00	10.00	0	10.00	0	10.00	11.00	8.00
703	8.00	8.00	8.00	284	228	111	36	16	27	13	16	23	18	13	5	7	5	8	4	8	5	6	8	2	3	3	8	2	0	3	7	8.00	8.00	9.00	7.00	8.00	7.00	8.00	8.00	8.00	9.00	7.00	7.00	8.00	8.00	5.00	7.00	6.00	11.00	9.00	10.00	9.00	9.00	0	7.00	11.00
704	7.00	7.00	7.00	70	59	26	6	5	6	4	5	2	1	2	2	5	0	1	1	2	3	6	1	1	1	0	1	0	2	2	1	7.00	6.00	8.00	8.00	8.00	10.00	7.00	8.00	7.00	6.00	0	5.00	6.00	8.00	7.00	8.00	8.00	6.00	7.00	0	8.00	0	14.00	9.00	13.00
705	7.00	7.00	7.00	116	95	43	11	6	11	8	10	10	13	7	2	5	1	2	1	2	1	2	2	1	3	2	0	1	1	1	0	6.00	11.00	7.00	7.00	8.00	8.00	9.00	7.00	9.00	6.00	8.00	15.00	9.00	7.00	16.00	9.00	9.00	6.00	8.00	7.00	0	3.00	7.00	10.00	0
706	8.00	8.00	8.00	92	71	27	2	13	10	9	7	3	5	5	1	3	6	2	0	1	0	2	3	0	3	0	4	1	1	0	1	7.00	8.00	8.00	8.00	7.00	7.00	7.00	7.00	8.00	6.00	9.00	9.00	0	8.00	0	8.00	9.00	0	8.00	0	10.00	9.00	8.00	0	8.00
707	8.00	7.00	7.00	40	36	12	1	4	6	1	3	2	2	2	2	1	1	0	5	1	2	1	1	0	0	1	0	0	1	0	0	5.00	9.00	8.00	11.00	7.00	11.00	6.00	10.00	14.00	5.00	8.00	0	10.00	7.00	9.00	6.00	15.00	0	0	12.00	0	0	7.00	0	0
708	7.00	10.00	5.00	3	2	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00	0	10.00	0	0	0	0	0	5.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
709	12.00	12.00	12.00	7	6	3	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	10.00	12.00	12.00	0	0	0	0	0	0	0	0	0	0	9.00	0	0	0	0	0	0	0	0	14.00	0	0
710	10.00	10.00	10.00	6	5	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	0	0	0	0	0	0	0	0	0	10.00	0	0	0	0	0	0	0
722	11.00	11.00	11.00	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
723	16.00	16.00	16.00	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
724	15.00	15.00	15.00	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.00	0	0	0	0	0	0	0	0
729	9.00	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
733	15.00	15.00	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
734	8.00	8.00	8.00	5	5	4	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5.00	14.00	0	4.00	0	0	0	0	0	0	0	0	0	12.00	0	0	0	0	0	0	0	0
735	8.00	8.00	7.00	98	79	37	10	5	8	7	7	3	7	2	3	1	3	3	7	1	1	3	0	1	2	3	0	7	1	3	1	5.00	6.00	9.00	7.00	8.00	8.00	6.00	11.00	10.00	11.00	9.00	8.00	11.00	5.00	5.00	6.00	0	5.00	17.00	7.00	0	8.00	5.00	8.00	6.00
736	7.00	7.00	8.00	429	329	123	42	42	36	42	19	28	21	23	20	16	11	10	13	13	10	4	3	0	6	3	6	6	11	5	4	8.00	8.00	7.00	8.00	8.00	7.00	8.00	7.00	8.00	7.00	8.00	8.00	6.00	7.00	7.00	5.00	7.00	0	9.00	12.00	9.00	9.00	8.00	5.00	8.00
737	7.00	7.00	6.00	77	62	26	12	15	5	5	6	1	1	2	3	1	1	6	1	0	0	1	1	0	0	3	0	1	2	2	1	10.00	9.00	8.00	9.00	8.00	14.00	5.00	4.00	7.00	9.00	13.00	5.00	15.00	0	0	7.00	14.00	0	0	12.00	0	6.00	11.00	6.00	8.00
738	8.00	8.00	9.00	23	19	7	1	3	0	1	2	2	1	0	1	2	1	1	1	2	0	0	1	0	0	0	1	1	0	0	0	6.00	8.00	0	8.00	9.00	7.00	9.00	0	11.00	10.00	4.00	8.00	5.00	7.00	0	0	2.00	0	0	0	12.00	11.00	0	0	0
